epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8725000023841858,0.9818280935287476,0.5342109799385071,0.001,0.9479768872261047,0.8199999928474426,0.20000000298023224,0.5589999556541443,1.7353495359420776,0.0,0.0
1,0.9975000023841858,0.9999984502792358,0.11816825717687607,0.001,0.9975000023841858,0.9975000023841858,0.4000000059604645,0.6700000166893005,1.560857892036438,0.6666666865348816,0.4000000059604645
2,0.987500011920929,0.9963078498840332,0.1676831990480423,0.001,0.987500011920929,0.987500011920929,0.4000000059604645,0.6685000061988831,1.8763058185577393,0.25,0.20000000298023224
3,0.987500011920929,0.999830424785614,0.13707591593265533,0.001,0.9899497628211975,0.9850000143051147,0.20000000298023224,0.7089999914169312,2.394087314605713,0.25,0.20000000298023224
4,1.0,1.0,0.1074422150850296,0.001,1.0,1.0,0.20000000298023224,0.6664999723434448,2.724318027496338,0.25,0.20000000298023224
5,0.9925000071525574,0.99996018409729,0.12440560013055801,0.001,0.9925000071525574,0.9925000071525574,0.20000000298023224,0.5075000524520874,4.239024639129639,0.20000000298023224,0.20000000298023224
6,0.9950000047683716,0.9999203681945801,0.11970961838960648,0.001,0.9950000047683716,0.9950000047683716,0.20000000298023224,0.5200000405311584,4.755521774291992,0.20000000298023224,0.20000000298023224
7,1.0,1.0,0.10038797557353973,0.0005,1.0,1.0,0.20000000298023224,0.5145000219345093,4.436384201049805,0.20000000298023224,0.20000000298023224
8,0.9975000023841858,0.9999953508377075,0.10746608674526215,0.0005,0.9975000023841858,0.9975000023841858,0.20000000298023224,0.6313749551773071,2.8708484172821045,0.25,0.20000000298023224
9,0.9925000071525574,0.9983367323875427,0.13039574027061462,0.0005,0.9925000071525574,0.9925000071525574,0.4000000059604645,0.6581249833106995,3.0648343563079834,0.39393940567970276,0.38999998569488525
10,0.9900000095367432,0.9981679320335388,0.1427673101425171,0.0005,0.9900000095367432,0.9900000095367432,0.4000000059604645,0.6754499673843384,2.719663381576538,0.4000000059604645,0.4000000059604645
11,0.9800000190734863,0.9998320937156677,0.1418415755033493,0.0005,0.9800000190734863,0.9800000190734863,0.20000000298023224,0.682687520980835,4.128108501434326,0.2469135820865631,0.20000000298023224
